,id,communityName,lat,lng
0,1,珠江源昌花园,22.726416399827766,113.53159113023789
1,2,东方花园又一居,22.938014209698288,113.38513813723078
2,3,时代南湾,22.787087986212466,113.60004102193955
3,4,东山铭泰公馆,23.13096975825329,113.30262671006389
4,5,金名都,23.355868902998402,113.31481716498303
5,6,景业荔都,23.611865299660366,113.64890569759692
6,7,南沙金湾,22.805782994858625,113.5646939577613
7,8,先烈东路,23.155717523212257,113.31538593969276
8,9,万科府前一号,22.798132321417484,113.52609260221314
9,10,喜盈雅境,22.923312485014932,113.3681959156571
10,11,紫泉翠荔嘉园,23.448331500951248,113.49350737832441
11,12,府前铭泰,23.13119990377128,113.26941401977665
12,13,江景苑,23.106353763930947,113.3144202037783
13,14,柏丽花园,22.932941655536464,113.39077024328483
14,15,岭南新世界,23.23844728767068,113.3005949226621
15,16,碧桂园海湾1号,22.762922433277122,113.61106251189892
16,17,珠光南沙御景,22.803901933631828,113.55140819893421
17,18,万丰路,22.942352200743088,113.37760086712298
18,19,同福中路,23.10999608727426,113.26496623611334
19,20,东华东路,23.092747934203807,113.51354902339816
20,21,怡新花园,23.181033277462916,113.32886899874876
21,22,华进明苑,23.048383250964644,113.31172897030184
22,23,南沙珠江湾,22.747781769514205,113.58898638450685
23,24,金泽豪庭,23.129913825556006,113.59613357263352
24,25,乐怡苑,22.90659070478883,113.3457638796221
25,26,华南碧桂园翠云山,23.007770742667226,113.3841137994581
26,27,翡翠绿洲湖翠苑,23.14070298622713,113.56167160887398
27,28,泰安楼,23.13906507367962,113.25217409975706
28,29,国土测绘院大院,23.17318397189213,113.32269898735552
29,30,越秀滨海御城,23.13526012014849,113.27342648099675
30,31,中区名门,23.29694826870784,113.82897723532054
31,32,紫竹苑(同德围),23.17708816801022,113.24189380167371
32,33,黄沙大道,23.303885359685278,113.23195476985349
33,34,坚真花园,23.087530745779485,113.33368903662206
34,35,畔江花园,23.102894493851167,113.35524962648213
35,36,同创誉城,23.014800166058865,113.38396009938539
36,37,万科府前一号,22.798132321417484,113.52609260221314
37,38,萝岗敏捷广场,23.008297573490914,113.3532574543533
38,39,珠江壹城,23.478413971769843,113.53190117589303
39,40,广雅居,23.146430079306764,113.2502245073094
40,41,南沙保利南怡湾,22.834337083869915,113.50372416620822
41,42,晴海岸,22.74891296207671,113.59625134048584
42,43,金润铂宫,23.129105149405614,113.27653910958779
43,44,逸泉映翠,23.579973365072256,113.62267957841122
44,45,人盛巴厘天地,23.498195851359295,113.54234393701933
45,46,南国奥林匹克花园,22.992076134642787,113.32798632375496
46,47,水荫一横路,23.149412966579067,113.31442768217167
47,48,雅怡花园,23.400903823504482,113.22949395174028
48,49,富力现代广场,23.097598254625584,113.26240130798477
49,50,建丽花园,23.172463021066033,113.36578297722755
50,51,人盛巴厘天地,23.498195851359295,113.54234393701933
51,52,越秀南路,23.126074575839436,113.28432431920272
52,53,周门小区周门西街,23.133792329512694,113.24426205479399
53,54,东方新世界,23.138350749711204,113.36636463004507
54,55,南沙金茂湾,22.786840671106557,113.5274810232089
55,56,南沙金茂湾,22.786840671106557,113.5274810232089
56,57,新塘新世界花园嘉华苑,23.113700892384827,113.58300780201772
57,58,珠江壹城,23.478413971769843,113.53190117589303
58,59,中交汇通中心,22.77307952388009,113.52963596829606
59,60,德政北路,23.135595164574475,113.2808397642832
